articles.A-B,Adv_Prev_Med,Adv_Prev_Med_2011_Jun_8_2011_281863.nxml,Vitamin D  Sunlight and Prostate Cancer Risk,advances in preventive medicine,RSG-09-175-01-CCE,14,Vitamin D  Sunlight and Prostate Cancer Risk
articles.O-Z,Reprod_Biol_Endocrinol,Reprod_Biol_Endocrinol_2003_Nov_7_1_85.nxml,Temporal and spatial expression of tissue inhibitors of metalloproteinases 1 and 2 (TIMP-1 and -2) in the bovine corpus luteum,reproductive biology and endocrinology : rb&e,RPG 83821,50,Temporal and spatial expression of tissue inhibitors of metalloproteinases 1 and 2 (TIMP-1 and -2) in the bovine corpus luteum
articles.O-Z,Virol_J,Virol_J_2009_Oct_27_6_176.nxml,Role of L2 cysteines in papillomavirus infection and neutralization,virology journal,RSG-08-116-01-CCE,16,Role of L2 cysteines in papillomavirus infection and neutralization
articles.O-Z,Virol_J,Virol_J_2006_Jun_28_3_51.nxml,Raman spectroscopy: the gateway into tomorrow's virology,virology journal,IRG-97-149,32,Raman spectroscopy: the gateway into tomorrow's virology
articles.O-Z,Prostate_Cancer_Prostatic_Dis,Prostate_Cancer_Prostatic_Dis_2011_Jun_25_14(2)_118-121.nxml,Development of an MHC class I L d -restricted PSA peptide-loaded tetramer for detection of PSA-specific CD8 + T cells in the mouse,prostate cancer and prostatic diseases,RSG-09-015-01-CDD,7,Development of an MHC class I Ld-restricted PSA peptide-loaded tetramer for detection of PSA-specific CD8&plus
articles.O-Z,Small_GTPases,Small_GTPases_2012_Jan_1_3(1)_34-39.nxml,KRAS mutant colorectal tumors Past and present,small gtpases,RSG-10-193-01-TBG,6,KRAS mutant colorectal tumors
articles.O-Z,PLoS_Pathog,PLoS_Pathog_2005_Oct_21_1(2)_e17.nxml,Identification of the Moving Junction Complex of Toxoplasma gondii : A Collaboration between Distinct Secretory Organelles MJ Complex of       Toxoplasma gondii,plos pathogens,PF-99-018-01-MBC,234,Identification of the Moving Junction Complex of Toxoplasma gondii : A Collaboration between Distinct Secretory Organelles MJ Complex of       Toxoplasma gondii
articles.O-Z,PPAR_Res,PPAR_Res_2010_Oct_18_2010_729876.nxml,Combination PPAR  and RXR Agonist Treatment in Melanoma Cells: Functional Importance of S100A2,ppar research,MRSG-06-193-01-TBE,4,Combination PPAR 𝛾 and RXR Agonist Treatment in Melanoma Cells: Functional Importance of S100A2
articles.O-Z,Org_Lett,Org_Lett_2011_Oct_21_13(20)_5612-5615.nxml,Expanding the Repertoire of Natural Product-Inspired Ring Pairs for Molecular Recognition of DNA,organic letters,PF-10-015-01-CDD,6,Expanding the repertoire of natural product-inspired ring pairs for molecular recognition of DNA
articles.O-Z,Patient_Relat_Outcome_Meas,Patient_Relat_Outcome_Meas_2010_Jun_18_1_51-56.nxml,A brief assessment of physical functioning for prostate cancer patients,patient related outcome measures,01-221-01-PBP,0,A brief assessment of physical functioning for prostate cancer patients
articles.O-Z,Patient_Relat_Outcome_Meas,Patient_Relat_Outcome_Meas_2010_May_14_1_9-18.nxml,Is less more? A preliminary investigation of the number of response categories in self-reported pain,patient related outcome measures,RSG-01-221-01-PBP,2,Is less more? A preliminary investigation of the number of response categories in self-reported pain
articles.O-Z,Obesity_(Silver_Spring),Obesity_(Silver_Spring)_2013_Jul_25_21(7)_1438-1445.nxml,Dynamic poverty experiences and development of overweight in a prospective cohort of US children ages 4 to 14,obesity (silver spring  md.),RSGT-11-010-01-CPPB,0,Dynamic poverty experiences and development of overweight in a prospective cohort of US children ages 4 to 14
articles.O-Z,PLoS_Med,PLoS_Med_2005_Mar_22_2(3)_e73.nxml,Acquired Resistance of Lung Adenocarcinomas to Gefitinib or Erlotinib Is Associated with a Second Mutation in the EGFR Kinase Domain Resistance to EGFR Kinase Inhibitors,plos medicine,PF-05-078-01-MGO,1979,Acquired Resistance of Lung Adenocarcinomas to Gefitinib or Erlotinib Is Associated with a Second Mutation in the EGFR Kinase Domain Resistance to EGFR Kinase Inhibitors
articles.O-Z,Structure,Structure_2011_Sep_7_19(9-16)_1338-1346.nxml,Biophysical and Computational Studies of Membrane Penetration by the GRP1 Pleckstrin Homology Domain,structure(london  england:1993),IRG-84-002-22,18,Biophysical and Computational Studies of Membrane Penetration by the GRP1 Pleckstrin Homology Domain
articles.O-Z,Philos_Trans_R_Soc_Lond_B_Biol_Sci,Philos_Trans_R_Soc_Lond_B_Biol_Sci_2012_Sep_19_367(1602)_2529-2539.nxml,Design principles underpinning the regulatory diversity of protein kinases Review. Evolution of protein kinases,philosophical transactions of the royal society b: biological sciences,RSG-10-188-01-TBE,2,Design principles underpinning the regulatory diversity of protein kinases Review. Evolution of protein kinases
articles.O-Z,Tumour_Biol,Tumour_Biol_2011_Apr_16_32(2)_347-357.nxml,Modification of the L1-CAM carboxy-terminus in pancreatic adenocarcinoma cells,tumour biology,RSG-05-116-01-CSM,7,Modification of the L1-CAM carboxy-terminus in pancreatic adenocarcinoma cells
articles.O-Z,Stem_Cells,Stem_Cells_2013_Jun_13_31(6)_1051-1063.nxml,MELK-Dependent FOXM1 Phosphorylation is Essential for Proliferation of Glioma Stem Cells,stem cells (dayton  ohio),MRSG-08-108-01,13,MELK‐Dependent FOXM1 Phosphorylation is Essential for Proliferation of Glioma Stem Cells
articles.O-Z,Prev_Chronic_Dis,Prev_Chronic_Dis_2008_Dec_15_6(1)_A23.nxml,Cancer Risk Communication in Mainstream and Ethnic Newspapers,preventing chronic disease,MRSGT-08-013-01-CPPB,0,Cancer Risk Communication in Mainstream and Ethnic Newspapers
articles.O-Z,Prev_Chronic_Dis,Prev_Chronic_Dis_2006_Jun_15_3(3)_A76.nxml,The Role of Race and Poverty in Access to Foods That Enable Individuals to Adhere to Dietary Guidelines,preventing chronic disease,TURPG-00-129-01-PBP,264,The Role of Race and Poverty in Access to Foods That Enable Individuals to Adhere to Dietary Guidelines
articles.O-Z,Transl_Oncogenomics,Transl_Oncogenomics_2008_Apr_23_3_53-65.nxml,Transcription Regulation by Class III Histone Deacetylases (HDACs)Sirtuins,translational oncogenomics,IRG-72-001-27-IRG,11,Transcription regulation by class III histone deacetylases (HDACs)—sirtuins
articles.O-Z,Oncogenesis,Oncogenesis_2013_Aug_5_2(8)_e59.nxml,Periostin cooperates with mutant p53 to mediate invasion through the induction of STAT1 signaling in the esophageal tumor microenvironment Periostin and tumor invasion,oncogenesis,RP-10-033-01-CCE,6,Periostin cooperates with mutant p53 to mediate invasion through the induction of STAT1 signaling in the esophageal tumor microenvironment Periostin and tumor invasion
articles.O-Z,Oncogenesis,Oncogenesis_2013_Sep_9_2(9)_e69.nxml,Centrosomal kinase Nek2 cooperates with oncogenic pathways to promote metastasis Centrosomal kinase Nek2 promotes metastasis,oncogenesis,PFM-11-137-01-DDC,2,Centrosomal kinase Nek2 cooperates with oncogenic pathways to promote metastasis Centrosomal kinase Nek2 promotes metastasis
articles.O-Z,Oncogenesis,Oncogenesis_2012_Jun_11_1(6)_e15.nxml,miR-200b restoration and DNA methyltransferase inhibitor block lung metastasis of mesenchymal-phenotype hepatocellular carcinoma miR-200b and DNA methyltransferase inhibitor in liver cancer metastasis,oncogenesis,RSG-10-073-01-TBG,3,miR-200b restoration and DNA methyltransferase inhibitor block lung metastasis of mesenchymal-phenotype hepatocellular carcinoma miR-200b and DNA methyltransferase inhibitor in liver cancer metastasis
articles.O-Z,Viruses,Viruses_2014_May_27_6(6)_2242-2258.nxml,Controlling Cytomegalovirus: Helping the Immune System Take the Lead,viruses,PF-13-046-01-LIB,0,Controlling cytomegalovirus: Helping the immune system take the lead
articles.O-Z,Viruses,Viruses_2013_Dec_31_6(1)_89-105.nxml,Identification of Cellular Proteins that Interact with Human Cytomegalovirus Immediate-Early Protein 1 by Protein Array Assay,viruses,RSG-090289-01-MPC,0,Identification of Cellular Proteins that Interact with Human Cytomegalovirus Immediate-Early Protein 1 by Protein Array Assay
articles.O-Z,Viruses,Viruses_2010_Aug_6_2(8)_1647-1665.nxml,Possibilities for RNA Interference in Developing Hepatitis C Virus Therapeutics,viruses,RSG-10-059-01-MPC,4,Possibilities for RNA interference in developing hepatitis C virus therapeutics
articles.O-Z,Viruses,Viruses_2011_Jun_10_3(6)_714-749.nxml,Human T-Cell Lymphotropic Virus: A Model of NF-B-Associated Tumorigenesis,viruses,RSG-06-066-01-MGO,25,Human T-Cell Lymphotropic Virus: A Model of NF-B-Associated Tumorigenesis
articles.O-Z,Oncogene,Oncogene_2012_May_10_31(19)_2471-2479.nxml,Adaptive up-regulation of FOXD3 and resistance to PLX4032/4720-induced cell death in mutant B-RAF melanoma cells,oncogene,RSG-08-03-01-CSM,15,Adaptive up-regulation of FOXD3 and resistance to PLX4032/4720-induced cell death in mutant B-RAF melanoma cells
articles.O-Z,Oncogene,Oncogene_2010_Jan_7_29(1)_128-138.nxml,Down-regulation of E-cadherin is an essential event in activating -catenin/Tcf dependent transcription and expression of its target genes in Pdcd4 knock-down cells,oncogene,IRG-85-001-19,34,Down-regulation of E-cadherin is an essential event in activating -catenin/Tcf dependent transcription and expression of its target genes in Pdcd4 knock-down cells
articles.O-Z,Oncogene,Oncogene_2011_May_5_30(18)_2098-2107.nxml,The fungicide ciclopirox inhibits lymphatic endothelial cell tube formation by suppressing VEGFR-3-mediated ERK signaling pathway,oncogene,RSG-08-135-01-CNE,10,The fungicide ciclopirox inhibits lymphatic endothelial cell tube formation by suppressing VEGFR-3-mediated ERK signaling pathway
articles.O-Z,Oncogene,Oncogene_2012_Feb_2_31(5)_552-562.nxml,Eya2 Is Required to Mediate the Pro-Metastatic Functions of Six1 Via the Induction of TGF- Signaling  Epithelial-Mesenchymal Transition  and Cancer Stem Cell Properties,oncogene,RSG-07-183-01-DDC,40,Eya2 Is Required to Mediate the Pro-Metastatic Functions of Six1 Via the Induction of TGF- Signaling  Epithelial-Mesenchymal Transition  and Cancer Stem Cell Properties
articles.O-Z,Oncogene,Oncogene_2011_May_26_30(21)_2475-2484.nxml,TGF--induced IRAK-M Expression in Tumor Associated Macrophages Regulates Lung Tumor Growth,oncogene,RSG-CSM-116801,28,TGF--induced IRAK-M Expression in Tumor Associated Macrophages Regulates Lung Tumor Growth
articles.O-Z,Oncogene,Oncogene_2012_Sep_6_31(36)_4045-4053.nxml,microRNA-107 functions as a candidate tumor suppressor gene in head and neck squamous cell carcinoma by down-regulation of protein kinase Cε,oncogene,RSG-08-219-01,26,microRNA-107 functions as a candidate tumor suppressor gene in head and neck squamous cell carcinoma by down-regulation of protein kinase Cε
articles.O-Z,Oncogene,Oncogene_2012_Apr_19_31(16)_2028-2038.nxml,Different Phenotypic Consequences of Simultaneous Versus Stepwise Apc Loss,oncogene,PF-11-067-01-TBE,6,Different Phenotypic Consequences of Simultaneous Versus Stepwise Apc Loss
articles.O-Z,Oncogene,Oncogene_2010_Sep_16_29(37)_5182-5192.nxml,Activating transcription factor 2 (ATF2) controls tolfenamic acid-induced ATF3 expression via MAP kinase pathways,oncogene,CNE-111611,41,Activating transcription factor 2 (ATF2) controls tolfenamic acid-induced ATF3 expression via MAP kinase pathways
articles.O-Z,Oncogene,Oncogene_2012_May_24_31(21)_2614-2626.nxml,CD49f and CD61 identify Her2/neu-induced mammary tumor initiating cells that are potentially derived from luminal progenitors and maintained by the integrin-TGF signaling,oncogene,RSG-10-067-01-TBE,28,CD49f and CD61 identify Her2/neu-induced mammary tumor initiating cells that are potentially derived from luminal progenitors and maintained by the integrin-TGF signaling
articles.O-Z,Oncogene,Oncogene_2013_Apr_25_32(17)_2179-2188.nxml,TARGETING THE eIF4A RNA HELICASE BLOCKS TRANSLATION OF THE MUC1-C ONCOPROTEIN,oncogene,PF-11-077-01-CDD,8,TARGETING THE eIF4A RNA HELICASE BLOCKS TRANSLATION OF THE MUC1-C ONCOPROTEIN
articles.O-Z,Oncogene,Oncogene_2013_Jan_24_32(4)_453-461.nxml,S6K1 determines the metabolic requirements for BCR-ABL survival,oncogene,RSG-08-293-01-CCG,4,S6K1 determines the metabolic requirements for BCR-ABL survival
articles.O-Z,Oncogene,Oncogene_2012_Dec_13_31(50)_5162-5171.nxml,The miR-106b-25 cluster targets Smad7  activates TGF- signaling  and induces EMT and tumor initiating cell characteristics downstream of Six1 in human breast cancer,oncogene,RSG-07-183-01-DDC,78,The miR-106b-25 cluster targets Smad7  activates TGF- signaling  and induces EMT and tumor initiating cell characteristics downstream of Six1 in human breast cancer
articles.O-Z,Oncogene,Oncogene_2012_Nov_15_31(46)_4848-4858.nxml,Inhibiting oncogenic signaling by sorafenib activates PUMA via GSK3 and NF-B to suppress tumor cell growth,oncogene,RSG-07-156-01-CNE,13,Inhibiting oncogenic signaling by sorafenib activates PUMA via GSK3 and NF-B to suppress tumor cell growth
articles.O-Z,Oncogene,Oncogene_2010_Mar_18_29(11)_1622-1632.nxml,Growth factors protect intestinal stem cells from radiation-induced apoptosis by suppressing PUMA through the PI3K/AKT/p53 axis,oncogene,RSG-07-156-01-CNE,47,Growth factors protect intestinal stem cells from radiation-induced apoptosis by suppressing PUMA through the PI3K/AKT/p53 axis
articles.O-Z,Oncogene,Oncogene_2011_Dec_8_30(49)_4855-4863.nxml,Phosphorylation and interaction of Myopodin by Integrin-Link Kinase Lead to Suppression of Cell Growth and Motility in Prostate Cancer Cells,oncogene,RSG-08-137-01-CNE,10,Phosphorylation and interaction of Myopodin by Integrin-Link Kinase Lead to Suppression of Cell Growth and Motility in Prostate Cancer Cells
articles.O-Z,Oncogene,Oncogene_2009_Oct_22_28(42)_3746-3757.nxml,Yin Yang 1 Regulates the Transcriptional Activity of Androgen Receptor,oncogene,RSG-09-082-01-MGO,26,Yin Yang 1 Regulates the Transcriptional Activity of Androgen Receptor
articles.O-Z,Oncogene,Oncogene_2013_Feb_7_32(6)_759-767.nxml,Yes and Lyn play a role in nuclear translocation of the Epidermal Growth Factor Receptor,oncogene,RSG-10-193-01-TBG,11,Yes and Lyn play a role in nuclear translocation of the Epidermal Growth Factor Receptor
articles.O-Z,Oncogene,Oncogene_2010_Jul_29_29(30)_4261-4275.nxml,TRANSGENIC EXPRESSION OF 15-LIPOXYGENASE 2 (15-LOX2) IN MOUSE PROSTATE LEADS TO HYPERPLASIA AND CELL SENESCENCE,oncogene,RSG MGO-105961,18,TRANSGENIC EXPRESSION OF 15-LIPOXYGENASE 2 (15-LOX2) IN MOUSE PROSTATE LEADS TO HYPERPLASIA AND CELL SENESCENCE
articles.O-Z,Oncogene,Oncogene_2010_Sep_16_29(37)_5135-5145.nxml,Epidermal growth factor receptor variant III mediates head and neck cancer cell invasion via STAT3 activation,oncogene,CRP-08-229-01,47,Epidermal growth factor receptor variant III mediates head and neck cancer cell invasion via STAT3 activation
articles.O-Z,Oncogene,Oncogene_2011_Dec_15_30(50)_4941-4952.nxml,EPLIN Downregulation Promotes Epithelial-Mesenchymal Transition in Prostate Cancer Cells and Correlates With Clinical Lymph Node Metastasis,oncogene,RSG-10-140-01,22,EPLIN Downregulation Promotes Epithelial-Mesenchymal Transition in Prostate Cancer Cells and Correlates With Clinical Lymph Node Metastasis
articles.O-Z,Oncogene,Oncogene_2010_Dec_9_29(49)_6485-6498.nxml,Transforming Growth Factor--Induced Epithelial-Mesenchymal Transition Facilitates Epidermal Growth Factor-Dependent Breast Cancer Progression,oncogene,PF-09-120-01,83,Transforming Growth Factor--Induced Epithelial-Mesenchymal Transition Facilitates Epidermal Growth Factor-Dependent Breast Cancer Progression
articles.O-Z,Oncogene,Oncogene_2012_Mar_22_31(12)_1484-1492.nxml,PP2A-B56 Controls Oncogene-Induced Senescence in Normal and Tumor Human Melanocytic Cells,oncogene,RSG-10-121-01,11,PP2A-B56 Controls Oncogene-Induced Senescence in Normal and Tumor Human Melanocytic Cells
articles.O-Z,Oncogene,Oncogene_2014_Jan_2_33(1)_10-18.nxml,Transformation of human ovarian surface epithelial cells by Krppel-like factor 8,oncogene,RSG CCG-111381,8,Transformation of human ovarian surface epithelial cells by Krppel-like factor 8
articles.O-Z,Oncogene,Oncogene_2010_Jul_22_29(29)_4170-4182.nxml,EVIDENCE FOR MESENCHYMAL-LIKE SUBPOPULATIONS WITHIN SQUAMOUS CELL CARCINOMAS POSSESSING CHEMORESISTANCE AND PHENOTYPIC PLASTICITY,oncogene,IRG-78-002-30,32,EVIDENCE FOR MESENCHYMAL-LIKE SUBPOPULATIONS WITHIN SQUAMOUS CELL CARCINOMAS POSSESSING CHEMORESISTANCE AND PHENOTYPIC PLASTICITY
articles.O-Z,Oncogene,Oncogene_2010_May_13_29(19)_2843-2852.nxml,A Role of Miz-1 in Gfi-1-Mediated Transcriptional Repression of CDKN1A,oncogene,RSG-08-307-01-FD,7,A Role of Miz-1 in Gfi-1-Mediated Transcriptional Repression of CDKN1A
articles.O-Z,Oncogene,Oncogene_2013_Jul_18_32(29)_3420-3431.nxml,Mer or Axl Receptor Tyrosine Kinase Inhibition Promotes Apoptosis  Blocks Growth  and Enhances Chemosensitivity of Human Non-Small Cell Lung Cancer,oncogene,RSG-08-291-01-LIB,18,Mer or Axl Receptor Tyrosine Kinase Inhibition Promotes Apoptosis  Blocks Growth  and Enhances Chemosensitivity of Human Non-Small Cell Lung Cancer
articles.O-Z,Oxid_Med_Cell_Longev,Oxid_Med_Cell_Longev_2010_Jan-Feb_3(1)_23-34.nxml,Redox regulation in cancer A double-edged sword with therapeutic potential,oxidative medicine and cellular longevity,IRG #97-152-16-2,134,Redox regulation in cancer A double-edged sword with therapeutic potential
articles.O-Z,Oncotarget,Oncotarget_2014_Jan_28_5(6)_1515-1525.nxml,Mutations in IDH1   IDH2   and in the TERT promoter define clinically distinct subgroups of adult malignant gliomas,oncotarget,RSG-10-126-01-CCE,1,Mutations in IDH1  IDH2  and in the TERT promoter define clinically distinct subgroups of adult malignant gliomas
articles.O-Z,Oncotarget,Oncotarget_2011_Mar_5_2(3)_113-121.nxml,The Challenge for Gene Therapy: Innate Immune Response to Adenoviruses,oncotarget,RSG-07-276-01-MGO,34,The challenge for gene therapy: innate immune response to adenoviruses
articles.O-Z,Oncotarget,Oncotarget_2012_Aug_9_3(8)_774-782.nxml,Mutant IDH1 is required for IDH1 mutated tumor cell growth,oncotarget,RSG-10-126-01-CCE,12,Mutant IDH1 is required for IDH1 mutated tumor cell growth
articles.O-Z,Oncotarget,Oncotarget_2012_Aug_3_3(7)_709-722.nxml,Frequent ATRX   CIC   FUBP1 and IDH1 mutations refine the classification of malignant gliomas,oncotarget,RSG-10-126-01-CCE,87,Frequent ATRX  CIC  FUBP1 and IDH1 mutations refine the classification of malignant gliomas
articles.O-Z,Oncotarget,Oncotarget_2014_Mar_4_5(6)_1635b-1645.nxml,Androgen receptor splice variants activating the full-length receptor in mediating resistance to androgen-directed therapy,oncotarget,RSG-07-218-01-TBE,3,Androgen receptor splice variants activating the full-length receptor in mediating resistance to androgen-directed therapy
articles.O-Z,Oncotarget,Oncotarget_2014_Mar_31_5(9)_2355-2371.nxml,Inhibition of BRD4 attenuates tumor cell self-renewal and suppresses stem cell signaling in MYC driven medulloblastoma,oncotarget,IRG-57-001-53,0,Inhibition of BRD4 attenuates tumor cell self-renewal and suppresses stem cell signaling in MYC driven medulloblastoma
articles.O-Z,Oncotarget,Oncotarget_2013_Apr_6_4(4)_572-583.nxml,Exomic Sequencing of Four Rare Central Nervous System Tumor Types,oncotarget,RSG-10-126-01-CCE,6,Exomic sequencing of four rare central nervous system tumor types
articles.O-Z,Oncotarget,Oncotarget_2013_Jul_7_4(7)_1075-1092.nxml,The tumor suppressor TERE1 (UBIAD1) prenyltransferase regulates the elevated cholesterol phenotype in castration resistant prostate cancer by controlling a program of ligand dependent SXR target genes,oncotarget,IRG-78-002-29,2,The tumor suppressor TERE1 (UBIAD1) prenyltransferase regulates the elevated cholesterol phenotype in castration resistant prostate cancer by controlling a …
articles.O-Z,Oncotarget,Oncotarget_2013_Oct_14_4(11)_2010-2020.nxml,NFkB disrupts tissue polarity in 3D by preventing integration of microenvironmental signals,oncotarget,IRG 85-001-22,2,NFkB disrupts tissue polarity in 3D by preventing integration of microenvironmental signals
articles.O-Z,Oncotarget,Oncotarget_2013_Oct_16_5(6)_1452-1457.nxml,The genetic landscape of anaplastic astrocytoma,oncotarget,RSG-10-126-01-CCE,1,The genetic landscape of anaplastic astrocytoma
articles.O-Z,Oncotarget,Oncotarget_2011_Jun_30_2(7)_562-568.nxml,Targeting invadopodia to block breast cancer metastasis,oncotarget,RSG-09-282-01-CSM,22,Targeting invadopodia to block breast cancer metastasis
articles.O-Z,Oncotarget,Oncotarget_2013_Mar_30_4(4)_542-549.nxml,Additive Effects of PDGF Receptor  Signaling Pathways in Vascular Smooth Muscle Cell Development PDGFR Signaling and VSMC Development,oncotarget,IRG 11-053-01-IRG,85,Additive Effects of PDGF Receptor  Signaling Pathways in Vascular Smooth Muscle Cell Development PDGFR Signaling and VSMC Development
articles.O-Z,Oncotarget,Oncotarget_2010_Oct_25_1(7)_497-514.nxml,EGFR-mutated lung cancer: a paradigm of molecular oncology,oncotarget,RSG-08-303-01-TBE,75,EGFR-mutated lung cancer: a paradigm of molecular oncology
articles.O-Z,Oncotarget,Oncotarget_2013_May_11_4(5)_729-738.nxml,FAM83B-mediated activation of PI3K/AKT and MAPK signaling cooperates to promote epithelial cell transformation and resistance to targeted therapies,oncotarget,RSG-10-072-01-TBG,1,FAM83B-mediated activation of PI3K/AKT and MAPK signaling cooperates to promote epithelial cell transformation and resistance to targeted therapies
articles.O-Z,Oncotarget,Oncotarget_2011_Dec_17_2(12)_1011-1027.nxml,Geminin overexpression induces mammary tumors via suppressing cytokinesis,oncotarget,RSG-09-275-01,8,Geminin overexpression induces mammary tumors via suppressing cytokinesis
articles.O-Z,PLoS_Biol,PLoS_Biol_2003_Nov_17_1(2)_e52.nxml,Additive Effects of PDGF Receptor  Signaling Pathways in Vascular Smooth Muscle Cell Development PDGFR Signaling and VSMC Development,plos biology,PF-98-149-01,85,Additive Effects of PDGF Receptor  Signaling Pathways in Vascular Smooth Muscle Cell Development PDGFR Signaling and VSMC Development
articles.O-Z,PLoS_Biol,PLoS_Biol_2005_Dec_15_3(12)_e401.nxml,Impaired DNA Replication within Progenitor Cell Pools Promotes Leukemogenesis Poor Competition Promotes Tumorigenesis,plos biology,RSG LIB-101051,35,Impaired DNA Replication within Progenitor Cell Pools Promotes Leukemogenesis Poor Competition Promotes Tumorigenesis
articles.O-Z,Pharmaceutics,Pharmaceutics_2012_May_23_4(2)_276-295.nxml,Impact of Molecular Weight on Lymphatic Drainage of a Biopolymer-Based Imaging Agent,pharmaceutics,RSG-08-133-01-CDD,3,Impact of molecular weight on lymphatic drainage of a biopolymer-based imaging agent
articles.O-Z,Pharmaceutics,Pharmaceutics_2012_Dec_27_5(1)_81-93.nxml,Pharmacokinetic Evaluation of a DSPE-PEG 2000 Micellar Formulation of Ridaforolimus in Rat,pharmaceutics,RSG-08-133-01,0,Pharmacokinetic Evaluation of a DSPE-PEG2000 Micellar Formulation of Ridaforolimus in Rat
articles.O-Z,Pigment_Cell_Melanoma_Res,Pigment_Cell_Melanoma_Res_2014_Mar_27_27(2)_253-262.nxml,Identification of PLX4032-resistance mechanisms and implications for novel RAF inhibitors,pigment cell & melanoma research,PF-08-256-01-GMC,1,Identification of PLX4032‐resistance mechanisms and implications for novel RAF inhibitors
articles.O-Z,Obstet_Gynecol_Int,Obstet_Gynecol_Int_2010_Jun_29_2010_302051.nxml,Oxidative Stress and DNA Methylation in Prostate Cancer,obstetrics and gynecology international,RSG-09-175-01-CCE,56,Oxidative stress and DNA methylation in prostate cancer
